"","model","alg","workers","buchi","rabinpairorder","time_v","time","ltl","ustates","utrans","tstates","ttrans","selfloop","claimdead","claimfound","claimsuccess","cumstack","rabinpairs","ftrans","autsize"
"16","BridgeAndVehicles-PT-V10P10N10_LTLC_8_","favoid",16,"ltl3dra","seq",0.0239788888888889,2.693,-1,519112,1642604,705190.7,2260295.1,58.4,1329958.7,0,705190.7,1440.3,2,3,3
"22","BridgeAndVehicles-PT-V20P10N10_LTLC_7_","favoid",16,"ltl3dra","seq",0.464269444444442,55.5077777777778,-1,19739742,68530798,21102794.7777778,48785079.7777778,23.6666666666667,26590742.3333333,0,21102794.7777778,2755.33333333333,2,9654288,3
"29","BridgeAndVehicles-PT-V20P10N20_LTLC_6_","favoid",16,"ltl3dra","seq",0.549173333333332,41.528,-1,9076326,31773082,9527898.5,14957101.6,0,4884673.8,0,9527898.5,1369.5,1,7514824,1
"50","BridgeAndVehicles-PT-V20P20N10_LTLC_9_","favoid",16,"ltl3dra","seq",0.386093333333333,22.474,-1,6732570,23489236,6951728.9,6951728.9,0,0,0,6951728.9,16,1,6732569,1
"58","BridgeAndVehicles-PT-V20P20N20_LTLC_4_","favoid",16,"ltl3dra","seq",2.32729888888889,3.399,10,256916.4,909653.2,297746,1014756.2,1,672040.6,0,297746,1531.1,1,28055.6,1
"76","BridgeAndVehicles-PT-V20P20N50_LTLC_13_","favoid",16,"ltl3dra","seq",1.15286777777778,99.343,-1,9792342,34345838,9833961,9833961,0,0,0,9833961,16,1,9792341,1
"100","BridgeAndVehicles-PT-V80P50N20_LTLC_13_","favoid",16,"ltl3dra","seq",0,999.999,-1,23905557.1,90705358.2,31295589,63151636,0,26195406.8,0,31295589,5220.4,1,25136833.9,1
"127","CircularTrains-PT-096_LTLF_12_","favoid",16,"ltl3dra","seq",0.04256,2.384,10,7690.2,66795.7,7708.8,67406.9,0,0,1,7708.8,7708.8,2,0,2
"196","HouseConstruction-PT-005_LTLC_14_","favoid",16,"ltl3dra","seq",0.0563788888888889,5.097,-1,1187985.9,7191112.9,2425327.9,3875388.6,0,1395839.9,0,2425327.9,1025.5,1,1113323,1
"204","HouseConstruction-PT-005_LTLC_6_","favoid",16,"ltl3dra","seq",0.0130666666666667,5.04,-1,1187984.6,7191111.6,2515962.7,3313230,0,775459.7,0,2515962.7,1048.7,1,1144123,1
"218","HouseConstruction-PT-500_LTLC_12_","favoid",16,"ltl3dra","seq",0.00286222222222222,1.062,10,90226.4,335492.1,91008.2,262399.7,1,4.1,0,91008.2,77051.6,1,73952.7,1
"265","IOTPpurchase-PT-C03M03P03D03_LTLC_11_","favoid",16,"ltl3dra","seq",0.0128,4.04,-1,354176,1684054,517186.5,2342077,0,1506526,0,517186.5,1402.5,1,41360,1
"273","IOTPpurchase-PT-C03M03P03D03_LTLC_14_","favoid",16,"ltl3dra","seq",0.0266666666666667,4.16333333333333,-1,354176,1684054,512050.5,717619.833333333,0,154310.833333333,0,512050.5,847.666666666667,1,342093,1
"304","ParamProductionCell-PT-2_LTLC_3_","favoid",16,"ltl3dra","seq",0.152378888888889,7.703,-1,349874,1380742,392638.4,587500.8,0,153733.7,0,392638.4,1310.9,1,313964,1
"318","ParamProductionCell-PT-4_LTLC_14_","favoid",16,"ltl3dra","seq",0.104633333333333,13.68,-1,2409739,9827662,2890442.71428571,9294530.28571429,0,5893551.42857143,0,2890442.71428571,1734.71428571429,1,886014,1
"326","ParamProductionCell-PT-5_LTLC_6_","favoid",16,"ltl3dra","seq",0.104111111111111,12.0011111111111,-1,1657242,6746379,1762987,1909099.44444444,0,115101.444444444,0,1762987,1206.11111111111,1,1657238,1
"348","PhilosophersDyn-PT-10_LTLC_2_","favoid",16,"ltl3dra","seq",0.0573,6.5,-1,199051,631375,200384.428571429,444518.428571429,0,240698,0,200384.428571429,144,1,92730,1
"361","QuasiCertifProtocol-PT-06_LTLC_7_","favoid",16,"ltl3dra","seq",0.0556566666666667,14.7416666666667,-1,2271960,16012225,2490142.33333333,2524403.33333333,0,31897.6666666667,0,2490142.33333333,166,1,2263829,1
"372","SafeBus-PT-10_LTLF_9_","favoid",16,"ltl3dra","seq",5.68941,4.341,10,81141.3,427426.2,81170.3,401961.8,0,318765,1,81170.3,637.6,1,25746.4,3
"456","SharedMemory-PT-000010_LTLC_15_","favoid",16,"ltl3dra","seq",0.03017,8.852,-1,1830519,19486170,1936969.8,1936969.8,0,0,0,1936969.8,16,1,1830519,1
"468","S_HouseConstruction-PT-005_LTLC_14_","favoid",16,"ltl3dra","seq",0.0338055555555555,5.605,-1,1187984.9,7191111.9,2333179.5,3766049.9,0,1387738.9,0,2333179.5,1014.9,1,1113323,1
"476","S_HouseConstruction-PT-005_LTLC_6_","favoid",16,"ltl3dra","seq",0.124151111111111,5.532,-1,1187984.2,7191111.2,2434063.6,3237377.3,0,777589.5,0,2434063.6,1072.8,1,1144123,1
"490","S_HouseConstruction-PT-500_LTLC_12_","favoid",16,"ltl3dra","seq",0.00101777777777778,1.018,10,96813.7,351153.5,97581.2,281200.1,1,0,0,97581.2,83980.4,1,70815.8,1
"543","S_Kanban-PT-0200_LTLC_7_","favoid",16,"ltl3dra","seq",0,700,-1,92928192.9,1119519397.5,131953873.2,131953873.2,0,0,0,131953873.2,16,1,268434509.6,1
"561","Solitaire-PT-EngCT7x7_LTLC_7_","favoid",16,"ltl3dra","seq",0.0694711111111109,18.664,10,14386582.3,115450134.6,14401894.8,28986132.4,1.2,14529215.7,0,14401894.8,453.6,1,35741068.1,1
"569","S_ParamProductionCell-PT-2_LTLC_3_","favoid",16,"ltl3dra","seq",0.0359166666666666,7.635,-1,349874,1380742,390409.8,577518.6,0,148079.9,0,390409.8,1307.8,1,313964,1
"577","S_ParamProductionCell-PT-4_LTLC_14_","favoid",16,"ltl3dra","seq",0.209871111111111,13.854,-1,2409739,9827662,2927305.9,9382864,0,5934702.6,0,2927305.9,1738.8,1,886014,1
"585","S_ParamProductionCell-PT-5_LTLC_6_","favoid",16,"ltl3dra","seq",0.117094444444444,11.9722222222222,-1,1657242,6746379,1789488.55555556,1948131.44444444,0,122648.111111111,0,1789488.55555556,1237.11111111111,1,1657238,1
"607","S_PhilosophersDyn-PT-10_LTLC_2_","favoid",16,"ltl3dra","seq",0.223514285714286,6.65857142857143,-1,199051,631375,200508.285714286,445266.571428571,0,240847.428571429,0,200508.285714286,144,1,92730,1
"615","S_Philosophers-PT-000050_LTLC_0_","favoid",16,"ltl3dra","seq",0,700,-1,5325053.3,427913824,5335065.2,5335065.2,0,0,0,5335065.2,16,1,268434390.3,1
"628","S_QuasiCertifProtocol-PT-06_LTLC_7_","favoid",16,"ltl3dra","seq",0.123480952380952,14.2714285714286,-1,2271960,16012225,2507528.85714286,2543257.28571429,0,32401.4285714286,0,2507528.85714286,172.571428571429,1,2263829,1
"644","S_SharedMemory-PT-000010_LTLC_15_","favoid",16,"ltl3dra","seq",0.0935066666666668,9.17666666666667,-1,1830519,19486170,1930815,1930815,0,0,0,1930815,16,1,1830519,1
"656","S_Solitaire-PT-EngCT7x7_LTLC_7_","favoid",16,"ltl3dra","seq",0.210916666666667,19.015,10,14386686.1,115450785.1,14402688.2,28990758.5,1.1,14531166.3,0,14402688.2,454.6,1,35741156.5,1
"687","SwimmingPool-PT-04_LTLC_7_","favoid",16,"ltl3dra","seq",337.577534444444,503.353,-1,164385221.4,1047509092.4,366716034.9,455028152.5,0,71593012.4,0,366716034.9,1867.4,1,163058665,1
"695","SwimmingPool-PT-08_LTLC_4_","favoid",16,"ltl3dra","seq",0,999.999,-1,207925648.444444,1367056961.33333,462304733.888889,462304733.888889,0,0,0,462304733.888889,16,1,237981149,1
